time,x,y
539,5073.95,2
540,5080.52,0
541,5000.45,1
542,5057.61,1
543,5009.09,1
544,4989.15,1
545,5010.72,1
546,4992.21,1
547,4969.51,3
548,5007.84,3
549,5069.27,3
550,5107.47,3
551,5117.16,3
552,5127.93,3
553,5126.01,3
554,5141.08,3
555,5138.51,3
556,5148.56,3
557,5194.78,2
558,5194.78,2
559,5218.71,2
560,5162.44,2
561,5149.99,3
562,5180.25,2
563,5240.1,2
564,5220.85,2
565,5255.26,0
566,5205.81,0
567,5221.03,0
568,5222.36,0
569,5174.96,1
570,5190.27,0
571,5112.6,1
572,5085.11,3
573,5102.62,3
574,5095.97,3
575,5158.14,3
576,5206.79,2
577,5252.38,2
578,5221.44,2
579,5235.34,2
580,5252.32,2
581,5213.55,2
582,5188.4,3
583,5241.19,2
584,5193.94,3
585,5233.7,2
586,5286.4,2
587,5282.4,2
588,5312.18,0
589,5278.27,0
590,5262.94,0
591,5150.45,0
592,5064.85,0
593,5081.69,0
594,4920.31,0
595,4908.69,1
596,4944.57,0
597,4813.5,3
598,4931.53,3
599,4870.02,3
600,4949.53,2
601,5045.09,0
602,4893.87,0
603,4930.18,0
604,4947.29,0
605,4959.7,0
606,4916.04,0
607,4797.92,0
608,4824.77,0
609,4684.34,1
610,4768.18,0
611,4723.18,0
612,4617.59,1
613,4615.44,3
614,4724.58,3
615,4694.89,3
616,4729.02,3
617,4770.42,3
618,4774.73,3
619,4803.29,3
620,4817.63,3
621,4801.49,3
622,4771.24,3
623,4774,3
624,4880.38,3
625,4965.96,2
626,4980.62,2
627,4921.3,0
628,4966.45,0
629,4953.71,0
630,4982.48,0
631,4914.39,0
632,4941.73,0
633,4852.52,0
634,4780.79,1
635,4750.08,1
636,4734.54,3
637,4846.54,3
638,4865.04,3
639,4818.55,3
640,4914.93,3
641,4933.12,3
642,4943,3
643,5001.21,3
644,5028.51,3
645,5009.42,3
646,4948.23,3
647,5026.25,3
648,4983.68,3
649,5040.95,3
650,4956.34,3
651,4967.95,3
652,5025.15,3
653,4976.64,3
654,4985.52,3
655,5046.93,3
656,5115.02,2
657,5137.31,2
658,5144.84,2
659,5135.69,2
660,5104.65,2
661,5128.33,2
662,5082.73,3
663,5112.85,2
664,5111.13,2
665,5148.52,2
666,5160.32,2
667,5182.79,2
668,5165.04,2
669,5183.45,2
670,5172.85,0
671,5115.52,1
672,5060.09,1
673,5073.57,1
674,5058.31,3
675,5125.97,3
676,5137.93,3
677,5123.85,3
678,5144.88,3
679,5146.96,3
680,5115.99,3
681,5192.74,3
682,5208.32,3
683,5141.95,3
684,5146.49,3
685,5219.59,3
686,5243.1,3
687,5250.01,3
688,5250.01,3
689,5243.13,3
690,5219.79,3
691,5256.55,3
692,5288.53,3
693,5282.06,3
694,5284.74,3
695,5309.79,3
696,5313.19,3
697,5361.51,2
698,5353.23,2
699,5361.97,2
700,5302.99,3
701,5361.29,2
702,5359.74,2
703,5375.35,2
704,5411.81,2
705,5404.54,2
706,5422.28,2
707,5433.79,0
708,5396.03,1
709,5362.23,1
710,5348.73,1
711,5370.86,1
712,5310.07,3
713,5336.3,3
714,5402.36,2
715,5437.78,2
716,5437.16,2
717,5448.6,2
718,5447.5,2
719,5490.56,2
720,5476.28,2
721,5511.53,0
722,5505.72,0
723,5439.71,0
724,5454.74,0
725,5459.35,0
726,5452.49,0
727,5389.46,0
728,5308.65,1
729,5306.24,1
730,5381.25,0
731,5327.64,1
732,5254.05,3
733,5296.08,3
734,5359.69,3
735,5350.62,3
736,5379.21,3
737,5384.16,3
738,5427.56,3
739,5426.82,3
740,5475.85,3
741,5509.58,2
742,5541.62,2
743,5530.32,2
744,5484.76,3
745,5514.42,2
746,5510.39,2
747,5453.94,3
748,5540.01,2
749,5533.36,2
750,5541.76,2
751,5610.92,1
752,5574.56,1
753,5517.35,1
754,5518.59,1
755,5533.03,1
756,5501.95,3
757,5609.8,3
758,5617.62,3
759,5591.54,3
760,5561.78,3
761,5555.04,3
762,5614.7,3
763,5579.78,3
764,5575.07,3
765,5638.08,3
766,5609.2,3
767,5582.3,3
768,5619.7,3
769,5645.59,3
770,5608.31,3
771,5662.25,2
772,5677.3,2
773,5681.11,2
774,5676.78,2
775,5703,2
776,5665.1,2
777,5692.45,2
778,5643.95,3
779,5682.69,2
780,5725.84,2
781,5720.88,2
782,5713.59,2
783,5713.45,2
784,5694.56,2
785,5707.86,2
786,5716.38,2
787,5762.54,0
788,5588.39,0
789,5516.32,0
790,5458.4,1
791,5424.7,1
792,5385.03,3
793,5437.13,2
794,5455.07,2
795,5524.26,2
796,5537.84,0
797,5496.07,0
798,5432.94,0
799,5296.22,3
800,5389.85,3
801,5382.16,3
802,5458.95,3
803,5503.27,3
804,5502.18,3
805,5598.37,3
806,5634.75,3
807,5576.3,3
808,5587.06,3
809,5552.69,3
810,5631.53,3
811,5634.16,3
812,5645.56,3
813,5711.91,3
814,5739.01,3
815,5741.38,3
816,5766.27,3
817,5751.92,3
818,5748.94,3
819,5789.34,3
820,5861.97,3
821,5858.14,3
822,5835.95,3
823,5829.04,3
824,5938.9,3
825,5917.32,3
826,5886.03,3
827,5947.33,3
828,5944.44,3
829,5930.77,3
830,5960.04,3
831,5990.13,3
832,6004.28,3
833,6068.83,2
834,6071.48,2
835,6034.25,3
836,6051.63,2
837,6012.76,3
838,6050.63,2
839,6026.42,3
840,6049.76,2
841,6017.91,3
842,6027,3
843,6101.14,2
844,6089.91,2
845,6089.72,2
846,6120.2,2
847,6048.31,2
848,6057.49,2
849,6056.39,2
850,6042.15,3
851,6104,2
852,6168.15,0
853,6125.81,0
854,6078.54,0
855,5977.87,1
856,5890.49,1
857,5883.29,3
858,5940.09,3
859,5898.16,3
860,5934.27,3
861,6047.23,2
862,6105.28,0
863,6087.15,0
864,6071.67,0
865,6093.29,0
866,6029.79,1
867,6023.25,1
868,6002.85,1
869,5953.36,1
870,5941.67,3
871,6006.31,2
872,6054.93,2
873,6026.95,2
874,6069.84,2
875,6059.53,2
876,6102.69,2
877,6104.66,2
878,6019.22,2
879,6001.09,3
880,6103.05,2
881,6117.96,2
882,6125.6,0
883,6099.21,0
884,5995.97,0
885,6065.5,0
886,5957.16,0
887,6009.16,0
888,5907.47,0
889,5837.11,0
890,5675.05,0
891,5643.96,0
892,5646.36,0
893,5751.08,0
894,5654.3,0
895,5682.07,0
896,5597.89,1
897,5532.99,3
898,5620.4,3
899,5749.29,0
900,5624.78,0
901,5448.63,3
902,5569.28,0
903,5478.66,0
904,5442.72,0
905,5265.47,3
906,5363.63,3
907,5399.38,3
908,5418.78,3
909,5518.17,2
910,5523.33,2
911,5569.38,2
912,5590.54,0
913,5474.17,3
914,5520.02,3
915,5592.53,2
916,5662.7,2
917,5672.72,0
918,5551.55,0
919,5576.62,0
920,5430.1,1
921,5386.43,3
922,5478.94,2
923,5508.01,2
924,5565.97,0
925,5538.92,1
926,5439.37,3
927,5549.35,3
928,5730.82,3
929,5688.76,3
930,5700.65,3
931,5692.49,3
932,5641.59,3
933,5690.77,3
934,5733.37,3
935,5715.69,3
936,5773.26,2
937,5799.27,2
938,5806.18,2
939,5804.39,2
940,5843.24,2
941,5829.4,2
942,5861.93,2
943,5838.49,2
944,5862.83,0
945,5843.95,0
946,5807.44,0
947,5774.36,1
948,5818.8,0
949,5767.24,1
950,5740.48,1
951,5661.27,3
952,5705.05,3
953,5674.67,3
954,5760.3,2
955,5794.87,2
956,5836.19,2
957,5803.93,2
958,5847.95,0
959,5730.92,0
960,5720.42,0
961,5684.62,0
962,5709.42,0
963,5683.22,0
964,5631.63,0
965,5524.18,0
966,5535.56,0
967,5538.91,0
968,5613.6,0
969,5561.13,0
970,5523.63,0
971,5432.57,1
972,5506.68,0
973,5381.3,3
974,5521.17,3
975,5458.39,3
976,5434.17,3
977,5561.21,2
978,5598.11,2
979,5670.57,0
980,5629.46,1
981,5547.21,3
982,5659.07,2
983,5673.76,2
984,5718.75,2
985,5750.92,0
986,5724.76,0
987,5743.32,0
988,5590.91,1
989,5605.36,1
990,5514.88,1
991,5509.37,1
992,5497.42,3
993,5511.45,3
994,5602.77,2
995,5614.28,2
996,5627.48,0
997,5627.25,0
998,5614.08,0
999,5550.36,0
1000,5546.08,0
1001,5446.79,0
1002,5452.83,0
1003,5495.67,0
1004,5435.42,0
1005,5400.43,0
1006,5371.41,0
1007,5403.51,0
1008,5250.82,0
1009,5225.39,0
1010,5157.09,0
1011,5092.4,0
1012,4842.54,0
1013,4636.76,3
1014,4915.29,2
1015,4878.12,3
1016,4848.3,3
1017,4941.45,2
1018,4873.57,3
1019,4869.79,3
1020,4978.06,0
1021,4973.64,0
1022,4776.86,0
1023,4816.43,0
1024,4723.8,1
1025,4709.65,1
1026,4682.7,3
1027,4840.71,3
1028,4855.4,3
1029,4858.65,3
1030,4771.79,3
1031,4885.83,2
1032,4812.81,3
1033,4858.85,3
1034,4824.55,3
1035,4919.26,2
1036,4973.07,0
1037,4968.82,0
1038,4865.23,0
1039,4790.66,0
1040,4742.66,0
1041,4675.91,0
1042,4756.42,0
1043,4678.05,0
1044,4618.96,1
1045,4566.99,3
1046,4627.69,2
1047,4697.1,0
1048,4630.19,0
1049,4592.15,0
1050,4431.04,3
1051,4582.59,3
1052,4555.95,3
1053,4533.72,3
1054,4692,3
1055,4676.68,3
1056,4719.53,3
1057,4695.92,3
1058,4707.07,3
1059,4866,2
1060,4911.97,2
1061,4887.87,2
1062,4900.88,2
1063,4944.6,0
1064,4912.69,0
1065,4874.97,0
1066,4859.42,1
1067,4797.93,1
1068,4766.49,3
1069,4780.68,3
1070,4855.1,3
1071,4862.14,3
1072,4961.69,3
1073,4910.35,3
1074,4872.64,3
1075,4944.65,3
1076,4929.55,3
1077,4978.21,2
1078,5012.75,2
1079,4977.1,2
1080,4996.54,2
1081,5069.71,2
1082,5063.36,2
1083,5040.92,2
1084,5075.31,0
1085,5055.58,1
1086,4960.56,3
1087,4976.21,3
1088,4998.67,3
1089,5055.24,2
1090,5057.51,2
1091,5078.04,2
1092,5142.1,0
1093,5054.88,0
1094,5027.55,0
1095,5028.74,0
1096,4933.77,1
1097,4906.56,3
1098,4971.11,2
1099,4975.9,2
1100,5014.28,0
1101,4935.21,0
1102,4983.71,0
1103,4915.07,0
1104,4907.06,0
1105,4795.32,0
1106,4799.38,0
1107,4761.08,0
1108,4660.91,0
1109,4672.3,0
1110,4682.3,0
1111,4657.74,0
1112,4686.33,0
1113,4618.75,0
1114,4591.39,0
1115,4509.27,0
1116,4511.37,0
1117,4473.76,0
1118,4536.29,0
1119,4426.19,0
1120,4397.32,0
1121,4434.85,0
1122,4341.21,0
1123,4296.48,0
1124,4343.99,0
1125,4342.59,0
1126,4275.61,0
1127,4339.66,0
1128,4231.56,0
1129,4100.64,1
1130,4142.53,0
1131,4061.15,3
1132,4112.45,3
1133,4225.99,3
1134,4299.36,3
1135,4327.14,2
1136,4327.26,2
1137,4408.74,0
1138,4347.99,1
1139,4377.18,0
1140,4324.45,1
1141,4320.49,1
1142,4400.55,0
1143,4392.36,0
1144,4314.34,1
1145,4280.63,3
1146,4386.35,3
1147,4448.33,2
1148,4457.43,2
1149,4491.85,2
1150,4538.49,0
1151,4518.48,0
1152,4402.97,0
1153,4420.91,0
1154,4453.62,0
1155,4448.84,0
1156,4332.79,1
1157,4365.87,1
1158,4304.61,3
1159,4400.45,3
1160,4355.87,3
1161,4368.55,3
1162,4373.08,3
1163,4461.49,2
1164,4482.6,2
1165,4539.07,0
1166,4447.13,0
1167,4304.01,0
1168,4196.66,3
1169,4340.18,0
1170,4293.34,0
1171,4283.66,0
1172,4249.07,0
1173,4332.66,0
1174,4168.97,0
1175,4087.4,0
1176,4000.11,1
1177,3957.86,3
1178,4324.87,0
1179,4223.51,0
1180,4139.82,1
1181,4114.54,3
1182,4226.81,0
1183,4163.38,0
1184,3953.48,3
1185,4032.1,2
1186,4054.54,0
1187,3963.28,3
1188,4080.75,0
1189,3711.98,0
1190,3732.22,0
1191,3496.89,0
1192,3442.7,0
1193,3176.49,3
1194,3531.5,3
1195,3628.52,0
1196,3381.07,0
1197,3181,3
1198,3329.92,3
1199,3448.51,2
1200,3475.4,0
1201,3298.18,0
1202,3310.87,0
1203,3193.79,0
1204,3067.35,3
1205,3114.92,3
1206,3402.57,3
1207,3407.82,3
1208,3487.07,3
1209,3527.97,3
1210,3691.09,0
1211,3618.11,0
1212,3387.25,3
1213,3469.12,2
1214,3505.75,0
1215,3336.41,0
1216,3233.96,0
1217,3269.46,0
1218,3291.47,0
1219,3182.03,0
1220,3217.4,0
1221,3087.89,0
1222,2980.42,0
1223,2881.26,3
1224,3172.11,3
1225,3209.56,2
1226,3169.85,3
1227,3262.68,0
